Customer_ID,First_Name,Last_Name,Email,Phone,Country,State,City,Join_Date,Status,Customer_Type,Revenue,Credit_Score
1000,Arjun,Reddy,arjun.reddy1000@example.com,9043321819,India,Tamil Nadu,Chennai,2021-03-07,Active,Retail,35666.47,758
1001,Aarav,Das,aarav.das1001@example.com,9386379402,India,Tamil Nadu,Chennai,2022-11-28,Active,Retail,143624.75,622
1002,Sai,Reddy,sai.reddy1002@example.com,9615594078,India,Telangana,Hyderabad,2023-02-15,Active,Corporate,124581.29,766
1003,Kiran,Joshi,kiran.joshi1003@example.com,9310341316,India,Maharashtra,Pune,2023-07-18,Active,Corporate,25235.46,631
1004,Ananya,Rao,ananya.rao1004@example.com,9192832764,India,Delhi,New Delhi,2022-03-26,Active,Retail,35128.16,466
1005,Kiran,Nair,kiran.nair1005@example.com,9413953767,India,Karnataka,Bengaluru,2022-06-27,Active,SME,84643.85,584
1006,Neha,Joshi,neha.joshi1006@example.com,9696532871,India,Telangana,Hyderabad,2021-08-13,Active,Retail,119019.83,666
1007,Meera,Reddy,meera.reddy1007@example.com,9669784801,India,Delhi,New Delhi,2022-07-01,Active,Corporate,17621.27,672
1008,Priya,Gupta,priya.gupta1008@example.com,9048281489,India,Karnataka,Bengaluru,2021-11-10,Active,Retail,81367.48,848
1009,Vivek,Sharma,vivek.sharma1009@example.com,9957015430,India,Karnataka,Bengaluru,2024-03-07,Inactive,Retail,110054.23,867
1010,Sai,Das,sai.das1010@example.com,9227824896,India,Karnataka,Bengaluru,2024-01-10,Active,SME,30971.51,609
1011,Rohit,Singh,rohit.singh1011@example.com,9787133150,India,Delhi,New Delhi,2024-02-09,Active,Retail,2071.44,812
1012,Arjun,Sharma,arjun.sharma1012@example.com,9310518347,India,Karnataka,Bengaluru,2024-01-10,Active,SME,86855.54,574
1013,Sneha,Nair,sneha.nair1013@example.com,9311656670,India,Telangana,Hyderabad,2021-05-05,Active,Corporate,120288.28,505
